순위,키워드,분류,기회점수,수요점수,경쟁낮음점수,AI점수,경쟁난이도%,상태,관심도,상승률%,최고대비%,빈구간비율,계절성%,뜨는달,최근30일%,장악%,전체문서수,AI인용적합,처방
1,사진 용량 줄이기,저장공간,58.1,7.6,20.5,30.0,31.6,유지,2.825,19.2,66.5,0.0,51.2,3월·4월,23.1,0.0,623401,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
2,배터리 성능 저하 이유,AI인용,55.5,3.8,21.7,30.0,27.8,유지,0.718,-9.4,78.7,0.0,23.4,1월·2월,12.5,5.0,113494,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
3,노이즈캔슬링 원리,AI인용,55.1,1.4,23.8,30.0,20.8,급상승,0.07,105.9,50.7,0.0,67.0,5월·6월,5.0,10.0,6802,높음,관심이 확 올랐습니다. 이번 주 안에 정보형으로 쓰세요.
4,아이폰 18,루머,54.0,40.0,13.9,0.0,53.5,상승,78.389,59.6,119.9,0.0,105.9,7월·8월,40.0,45.0,448423,낮음(뉴스형),검색은 되지만 AI 인용은 어려운 형태입니다(뉴스·상업형). 정보형으로 각도를 트세요.
5,번인 현상 원인,AI인용,53.7,2.0,21.7,30.0,27.8,유지,0.203,6.0,68.4,0.0,24.1,1월·3월,17.5,20.0,1782,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
6,이어폰 청소 방법,AI인용,52.8,2.5,20.3,30.0,32.4,유지,0.313,6.1,105.2,0.0,31.8,6월·7월,17.5,17.5,40597,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
7,ISO 뜻,카메라,52.2,0.8,21.4,30.0,28.5,상승,0.063,35.3,69.3,0.0,33.1,3월·4월,19.2,0.0,54233,높음,올라오는 중입니다. 지금 써두면 정점에 맞춰집니다.
8,블루투스 코덱 차이,AI인용,51.8,1.5,20.3,30.0,32.4,유지,0.106,-1.4,69.4,0.0,36.5,1월·3월,30.8,0.0,17730,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
9,노이즈캔슬링 부작용,AI인용,51.6,0.1,21.4,30.0,28.5,급상승,0.002,999.0,31.7,0.361,94.6,1월·3월,2.5,47.5,1784,높음,올랐지만 원래 검색량이 아주 작아 흔들린 것일 수 있습니다. 몇 주 더 보세요.
10,조리개 뜻,카메라,51.4,0.0,21.4,30.0,28.8,유지,0.0,0.0,0.0,0.444,182.0,1월·3월,13.0,17.4,18950,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
11,5G LTE 차이,AI인용,51.2,0.4,20.8,30.0,30.5,하락,0.007,-72.0,5.0,0.0,72.9,1월·3월,7.5,27.5,42723,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
12,헤드폰 귀 아픈 이유,AI인용,50.9,0.3,20.5,30.0,31.5,식는 중,0.014,-27.5,45.7,0.0,41.7,1월·3월,25.0,7.5,15409,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
13,LP 관리,음악,50.8,0.3,20.5,30.0,31.8,유지,0.012,-13.3,44.5,0.0,32.7,2월·3월,5.9,29.4,149502,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
14,골전도 이어폰 원리,AI인용,50.7,0.3,20.4,30.0,31.9,식는 중,0.013,-15.8,74.4,0.0,15.7,5월·6월,20.0,27.5,2624,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
15,무손실 음원이란,AI인용,50.6,0.5,20.0,30.0,33.2,유지,0.038,0.8,55.0,0.0,48.1,1월·3월,12.5,32.5,20234,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
16,이어폰 오래 끼면,AI인용,50.6,0.0,20.6,30.0,31.2,하락,0.0,-100.0,0.0,0.333,87.4,1월·3월,0.0,37.5,115339,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
17,스마트폰 발열 원인,AI인용,50.0,2.5,17.5,30.0,41.7,하락,0.314,-38.5,55.8,0.0,47.0,7월·8월,25.0,35.0,46009,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
18,와이파이 느린 이유,AI인용,49.9,0.4,19.6,30.0,34.8,유지,0.019,-1.6,56.3,0.0,57.1,1월·3월,2.5,47.5,65804,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
19,이어폰 한쪽만 안 나올 때,AI인용,49.5,0.1,19.4,30.0,35.3,급상승,0.002,81.8,17.6,0.361,159.4,1월·4월,17.5,25.0,57829,높음,올랐지만 원래 검색량이 아주 작아 흔들린 것일 수 있습니다. 몇 주 더 보세요.
20,무선 충전 원리,원리,49.3,0.3,19.0,30.0,36.6,급상승,0.011,184.2,34.9,0.0,101.8,5월·6월,15.0,35.0,45630,높음,올랐지만 원래 검색량이 아주 작아 흔들린 것일 수 있습니다. 몇 주 더 보세요.
21,아이폰 저장공간 부족,저장공간,48.9,1.3,17.6,30.0,41.3,식는 중,0.08,-18.6,65.2,0.0,12.8,3월·7월,25.0,32.5,57153,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
22,스마트폰 느려지는 이유,AI인용,48.8,1.3,17.5,30.0,41.6,유지,0.08,0.6,33.5,0.0,103.4,1월·2월,0.0,72.5,89727,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
23,미러리스 DSLR 차이,카메라,48.8,0.3,18.5,30.0,38.5,급상승,0.011,170.0,68.2,0.278,118.2,3월·4월,13.6,45.5,31758,높음,올랐지만 원래 검색량이 아주 작아 흔들린 것일 수 있습니다. 몇 주 더 보세요.
24,커널형 오픈형 차이,AI인용,48.5,0.4,18.0,30.0,39.9,유지,0.026,7.1,45.1,0.028,65.4,2월·8월,2.5,72.5,17201,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
25,이어폰 끊김 원인,AI인용,48.0,0.2,17.9,30.0,40.4,하락,0.004,-47.6,21.7,0.167,67.8,3월·4월,15.0,57.5,8352,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
26,캐시 삭제 방법,저장공간,47.8,0.3,17.5,30.0,41.8,상승,0.011,47.4,24.7,0.083,151.0,1월·3월,30.0,22.5,112090,높음,올라오는 중입니다. 지금 써두면 정점에 맞춰집니다.
27,AAC 코덱,코덱,47.5,0.1,17.4,30.0,42.2,유지,0.002,11.1,18.7,0.361,137.1,1월·6월,25.0,40.0,25898,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
28,이어폰 임피던스 뜻,AI인용,45.6,1.9,13.7,30.0,54.4,유지,0.178,5.8,77.3,0.0,26.5,1월·3월,52.5,52.5,1276,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
29,저장공간 부족할 때,AI인용,45.3,1.3,14.0,30.0,53.2,식는 중,0.08,-19.2,65.2,0.0,12.6,3월·7월,20.0,77.5,479019,높음,관심이 식는 중이라 급하지 않습니다. 우선순위 뒤로.
30,공장초기화 방법,AI인용,40.6,1.3,9.3,30.0,69.1,유지,0.081,-11.7,23.8,0.0,124.5,1월·3월,54.5,72.7,295290,높음,1년 내내 꾸준한 정보형입니다. AI 인용 노리기 딱 좋은 자리 — 아무 때나 쓰세요.
